Entity,Label
Joseph,PERSON
Sarah,PERSON
Cinderella,PERSON
winter,DATE
the early spring,DATE
Joseph,PERSON
Edith,PERSON
two,CARDINAL
Grizella,PERSON
Drizella,PERSON
Step,PERSON
Cinderella,PERSON
every morning,TIME
six o'clock,TIME
all day,DATE
two,CARDINAL
Cinderella,PERSON
Cinderella,PERSON
The King Charles,PERSON
Prince Henry,PERSON
One day,DATE
Cinderella,PERSON
Grizella,PERSON
three,CARDINAL
the Prince Henry's,FAC
Drizella,PERSON
Cinderella,PERSON
Saturday,DATE
8 o'clock,TIME
Cinderella,PERSON
Cinderella,PERSON
Fairy Godmother,PERSON
Cinderella,PERSON
The Fairy Godmother,ORG
12 o'clock,TIME
Cinderella,PERSON
first,ORDINAL
Cinderella,PERSON
an hour,TIME
Cinderella,PERSON
Cinderella,PERSON
Cinderella,PERSON
Cinderella,PERSON
12 o'clock,TIME
the Prince Henry's,FAC
The next day,DATE
Cinderella,PERSON
Cinderella,PERSON
Cinderella,PERSON
Cinderella,PERSON
the week,DATE
Cinderella,PERSON
two,CARDINAL
Sam,PERSON
Jeni,PERSON
